日期,天气状况,气温,风力风向
2018年11月24日,多云 /晴,14℃ / 0℃,南风 1-2级 /南风 1-2级
2018年11月25日,晴 /晴,15℃ / 0℃,东南风 1-2级 /东南风 1-2级
2018年11月26日,多云 /多云,14℃ / 0℃,西风 3-4级 /西风 3-4级
2018年11月27日,晴 /晴,13℃ / 1℃,东南风 1-2级 /东南风 1-2级
2018年11月28日,浮尘 /霾,15℃ / 0℃,东南风 1-2级 /东南风 1-2级
2018年11月29日,多云 /多云,13℃ / 1℃,东风 1-2级 /东风 1-2级
2018年11月30日,霾 /霾,13℃ / 1℃,西风 1-2级 /西风 1-2级
2018年12月1日,阴 /多云,11℃ / 2℃,东风 1-2级 /东风 1-2级
2018年12月2日,浮尘 /阴,8℃ / 1℃,西北风 1-2级 /西北风 1-2级
2018年12月3日,霾 /霾,8℃ / -3℃,西风 1-2级 /西风 1-2级
2018年12月4日,多云 /阴,5℃ / -3℃,东风 1-2级 /东风 1-2级
2018年12月5日,小雪 /晴,4℃ / -3℃,西北风 1-2级 /西北风 1-2级
2018年12月6日,阴 /阴,4℃ / -4℃,西北风 1-2级 /西北风 1-2级
2018年12月7日,小雪 /多云,-1℃ / -5℃,东风 1-2级 /东风 1-2级
2018年12月8日,阴 /多云,-2℃ / -8℃,东风 1-2级 /东风 1-2级
2018年12月9日,多云 /多云,0℃ / -6℃,东风 1-2级 /东风 1-2级
2018年12月10日,多云 /多云,2℃ / -4℃,西风 1-2级 /西风 1-2级
2018年12月11日,多云 /多云,1℃ / -7℃,东南风 1-2级 /东南风 1-2级
2018年12月12日,晴 /晴,2℃ / -8℃,东风 1-2级 /东风 1-2级
2018年12月13日,晴 /晴,5℃ / -6℃,东风 1-2级 /东风 1-2级
2018年12月14日,多云 /多云,3℃ / -4℃,东风 1-2级 /东风 1-2级
2018年12月15日,霾 /霾,9℃ / -4℃,西风 1-2级 /西风 1-2级
2018年12月16日,晴 /晴,12℃ / -2℃,东风 1-2级 /东风 1-2级
2018年12月17日,晴 /晴,14℃ / -3℃,东风 1-2级 /东风 1-2级
2018年12月18日,霾 /阴,10℃ / -3℃,西北风 1-2级 /西北风 1-2级
2018年12月19日,阴 /多云,9℃ / -2℃,东风 1-2级 /东风 1-2级
2018年12月20日,霾 /霾,8℃ / -3℃,北风 1-2级 /北风 1-2级
2018年12月21日,多云 /阴,7℃ / -1℃,东风 1-2级 /东风 1-2级
2018年12月22日,阴 /阴,8℃ / -2℃,西北风 1-2级 /西北风 1-2级
2018年12月23日,多云 /阴,3℃ / -5℃,东风 1-2级 /东风 1-2级
2018年12月24日,阴 /阴,1℃ / -3℃,东北风 1-2级 /东北风 1-2级
2018年12月25日,阴 /多云,6℃ / -3℃,西北风 1-2级 /西北风 1-2级
2018年12月26日,阴 /多云,5℃ / -2℃,东风 1-2级 /东风 1-2级
2018年12月27日,阴 /小雪,1℃ / -5℃,东风 3-4级 /东风 3-4级
2018年12月28日,阵雪 /阴,-2℃ / -7℃,北风 1-2级 /北风 1-2级
2018年12月29日,多云 /多云,0℃ / -10℃,东风 1-2级 /东风 1-2级
2018年12月30日,晴 /多云,1℃ / -9℃,东风 1-2级 /东风 1-2级
2018年12月31日,晴 /晴,1℃ / -7℃,东风 1-2级 /东风 1-2级
